dim,seed,model,nleaps,sampler,ess,ess_exact,n_leapfrog,msjd,margin1_mean,margin1_var,KS,ks_pval,mala
3.8,17,funnel_scale,1,AH_unif,1822.3493989888404,6910.783409750408,6.4974156e7,54182.56983582706,0.564401057738718,1.8069231345662196,270.2722151123832,0.0,false
1.0,20,funnel_scale,1,AH_unif,3308.0428203149218,3778.0591483710596,4.7163992e7,182.53661405869485,0.35262586701066573,7.479023792944712,51.819945406811485,0.0,false
1.4,16,funnel_scale,1,AH_fix,3079.0745375265797,4399.622904937828,5.9698716e7,2474.447836808019,0.4213584389164261,5.765314107426584,87.78951995557553,0.0,false
3.6,19,funnel_scale,1,AM,1685.1029326260063,2917.4955005844254,4.0892663e7,1.597768962998824e8,1.1650366135880312,2.966848525746809,283.23333955806845,0.0,false
0.2,14,funnel_scale,1,NUTS,61139.15128216548,60698.30621133768,9985855,8.54076140811166,-0.01307252274074956,9.055177434843728,2.3267966608220263,3.967385223816104e-5,false
0.8,10,funnel_scale,1,AM,2965.601315473295,3239.8428349212763,2.9363041e7,25.39517852318954,0.25418690869697436,8.051244853132422,35.55381352335996,0.0,false
3.8,9,funnel_scale,1,AM,1534.6217389610988,4449.095164288703,4.5251025e7,1.2758905228801165e7,0.5441302248478468,2.661079477995527,254.8370087323329,0.0,false
3.8,8,funnel_scale,1,NUTS,1793.0420649164626,56.02007701003873,106703670,1.2035119867567957e46,12.825400518608092,0.318731483217622,1023.9788923680755,0.0,false
1.6,7,funnel_scale,1,NUTS,1703.1218745303238,78.88783597400572,36087002,5.3730746394926214e17,10.797333270168306,0.5911436178401992,1023.3830891113196,0.0,false
0.6,4,funnel_scale,1,AH_unif,5197.928852790299,5135.618604427165,3.362339e7,9.478055274012117,-0.07074949437768847,9.083814297132928,7.206072216546417,1.5754213890997578e-45,false
0.2,7,funnel_scale,1,AH_fix,190562.73002667582,190322.87603410415,2.2280616e7,9.011698824623418,0.0009529538462614347,9.011173996511804,1.1288106084026595,0.15633439503600305,false
2.8,8,funnel_scale,1,AH_unif,1532.985092197838,1964.744155709887,6.799291e7,2.2270265266246136e7,1.201361005424558,4.8636850839122765,217.37712607360692,0.0,false
